* VELROT Run on 2025/ 5/20  1: 4 Version 1.01
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TRS     
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for       28 components from   14 stations was       0.62 mm/yr, NRMS     2.23
* Estimates of Transformation parameters are: 
*    1 X-Offset      47.5676    97.9617 (mm/yr) 
*    2 Y-Offset      73.5393   159.5524 (mm/yr) 
*    3 Z-Offset    -105.2908   109.5669 (mm/yr) 
*    4 X-Rot          2.2826     3.6703 (mas/yr)
*    5 Y-Rot         -3.5256     4.2099 (mas/yr)
*    6 Z-Rot         -1.4545     4.2598 (mas/yr)
*    7 Scale      ********** ********** (ppb/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
A    1 orid_GPS ORID_GPS      -0.49      -0.24 **********       0.16       0.15       1.03       0.14       0.14 **********
   27.42300   37.03200   -16.36  -27.10  -16.36  -27.10    0.52    0.46 -0.007   ******* ******* ******* bodr_GPS 
   30.67900   40.55200   -15.87   -2.20  -15.87   -2.20    0.69    0.70 -0.019   ******* ******* ******* bozs_GPS 
   30.29700   37.68900   -19.53  -10.25  -19.53  -10.25    0.50    0.48 -0.005   ******* ******* ******* burd_GPS 
   27.83600   37.19600   -17.82  -26.37  -17.82  -26.37    0.50    0.47 -0.008   ******* ******* ******* camk_GPS 
   29.26100   40.20000   -20.39   -2.93  -20.39   -2.93    0.82    0.79 -0.013   ******* ******* ******* cat1_GPS 
   29.14300   40.63900   -14.77    0.00  -14.77    0.00    0.68    0.63  0.010   ******* ******* ******* cina_GPS 
   28.08100   37.60900   -20.87  -22.22  -20.87  -22.22    0.46    0.42 -0.009   ******* ******* ******* cine_GPS 
   27.77900   41.82700     2.08   -0.73    2.08   -0.73    0.62    0.61 -0.057   ******* ******* ******* demi_GPS 
   23.93300   38.07900   -15.75  -25.39  -15.75  -25.39    0.23    0.22 -0.002   ******* ******* ******* dion_GPS*
   26.70600   40.73900    -4.15   -3.66   -4.15   -3.66    0.56    0.57 -0.000   ******* ******* ******* doku_GPS 
   36.13700   36.89900   -11.72    5.62  -11.72    5.62    1.09    1.21 -0.031   ******* ******* ******* dort_GPS 
   29.10600   40.27000   -19.90   -0.73  -19.90   -0.73    0.79    0.78 -0.014   ******* ******* ******* dtas_GPS 
   37.22000   38.17900   -13.18    4.88  -13.18    4.88    1.25    1.36  0.066   ******* ******* ******* elbi_GPS 
   30.63700   39.65800   -24.54   -3.42  -24.54   -3.42    0.62    0.62  0.004   ******* ******* ******* eski_GPS 
   36.64300   37.08800    -8.67    6.59   -8.67    6.59    1.20    1.32 -0.047   ******* ******* ******* fevz_GPS 
   29.42300   40.82100    -7.57   -0.24   -7.57   -0.24    0.68    0.64 -0.062   ******* ******* ******* gate_GPS 
   29.14600   40.46000   -19.29    0.73  -19.29    0.73    0.79    0.78 -0.008   ******* ******* ******* geml_GPS 
   28.92300   39.93000   -22.71   -2.20  -22.71   -2.20    0.77    0.74  0.018   ******* ******* ******* gire_GPS 
   28.77900   40.16700   -19.53   -3.42  -19.53   -3.42    0.74    0.73 -0.015   ******* ******* ******* haga_GPS 
   26.08500   38.44300   -19.29  -23.44  -19.29  -23.44    0.49    0.46 -0.004   ******* ******* ******* hios_GPS 
   29.51400   40.16400   -20.51   -1.46  -20.51   -1.46    0.84    0.80 -0.024   ******* ******* ******* hmza_GPS 
   29.90800   40.43800   -16.60   -2.93  -16.60   -2.93    0.62    0.59 -0.024   ******* ******* ******* igaz_GPS 
   29.06400   41.06400    -1.46   -0.24   -1.46   -0.24    0.61    0.57 -0.032   ******* ******* ******* ikan_GPS 
   32.57000   40.88100    -5.00   -1.71   -5.00   -1.71    0.91    0.83  0.011   ******* ******* ******* isme_GPS 
   40.80900   40.43700     1.95   -3.66    1.95   -3.66    2.09    2.05  0.155   ******* ******* ******* ispi_GPS 
   29.02000   41.10400    -0.85   -0.73   -0.85   -0.73    0.77    0.77 -0.013   ******* ******* ******* itay_GPS*
   29.92900   40.42500   -16.72   -3.42  -16.72   -3.42    0.64    0.59 -0.021   ******* ******* ******* iuck_GPS 
   27.30100   40.38100   -17.70   -6.35  -17.70   -6.35    0.69    0.68 -0.012   ******* ******* ******* kabi_GPS 
   29.64800   36.19400   -10.62  -10.50  -10.62  -10.50    0.64    0.53 -0.008   ******* ******* ******* kaso_GPS 
   27.78100   35.95200    -9.03  -30.03   -9.03  -30.03    0.38    0.38 -0.022   ******* ******* ******* katv_GPS*
   30.82700   40.73500    -6.71   -2.20   -6.71   -2.20    0.76    0.73 -0.015   ******* ******* ******* kder_GPS 
   27.21700   39.89700   -19.17   -9.03  -19.17   -9.03    0.49    0.48 -0.021   ******* ******* ******* kire_GPS 
   30.65500   40.62800   -12.57   -2.93  -12.57   -2.93    0.66    0.63 -0.019   ******* ******* ******* kkap_GPS 
   36.99600   37.52200    -9.89    6.10   -9.89    6.10    1.23    1.36  0.037   ******* ******* ******* kmar_GPS 
   27.39400   36.68100   -12.45  -30.76  -12.45  -30.76    0.50    0.48 -0.013   ******* ******* ******* knid_GPS 
   26.92900   36.75200   -16.72  -27.34  -16.72  -27.34    0.51    0.45 -0.038   ******* ******* ******* kosi_GPS 
   26.21600   39.72600   -20.87  -10.01  -20.87  -10.01    0.70    0.71  0.002   ******* ******* ******* krke_GPS 
   22.54400   39.93700     2.20   -6.35    2.20   -6.35    0.31    0.31  0.022   ******* ******* ******* krna_GPS 
   27.22400   35.49300   -12.94  -31.74  -12.94  -31.74    0.37    0.36  0.030   ******* ******* ******* krpt_GPS 
   20.66500   39.73400    -1.95   -2.20   -1.95   -2.20    0.45    0.42  0.005   ******* ******* ******* krts_GPS 
   30.63800   40.61400   -12.45   -2.93  -12.45   -2.93    0.66    0.63 -0.019   ******* ******* ******* ktop_GPS 
   26.87100   40.60100   -12.82   -4.64  -12.82   -4.64    0.69    0.71 -0.018   ******* ******* ******* kvak_GPS 
   24.41000   37.36300   -17.94  -26.12  -17.94  -26.12    0.47    0.42 -0.001   ******* ******* ******* kyns_GPS 
   22.98400   36.30700   -16.60  -26.12  -16.60  -26.12    0.45    0.44  0.017   ******* ******* ******* kyra_GPS 
   22.82300   37.18400   -18.07  -27.59  -18.07  -27.59    0.30    0.31  0.007   ******* ******* ******* leon_GPS 
   26.45100   39.23400   -19.29  -13.67  -19.29  -13.67    0.49    0.43 -0.010   ******* ******* ******* lesv_GPS 
   25.12600   39.85100   -14.77  -12.45  -14.77  -12.45    0.49    0.42  0.019   ******* ******* ******* limn_GPS 
   27.96000   40.97100     3.66   -1.46    3.66   -1.46    0.54    0.53 -0.024   ******* ******* ******* maer_GPS 
   27.96300   36.77200   -14.77  -26.86  -14.77  -26.86    0.52    0.44 -0.051   ******* ******* ******* marm_GPS 
   30.02600   40.46500   -15.99   -3.17  -15.99   -3.17    0.69    0.62 -0.019   ******* ******* ******* meke_GPS 
   33.19100   37.37800   -14.77   -1.22  -14.77   -1.22    0.69    0.73  0.056   ******* ******* ******* mele_GPS 
